"id_idee","id_membre","link","id_categorie","idee","provenance","tags","statut","date_post","id_v1"
"1",NULL,NULL,"3","Je viens de découvrir le meilleur anti-cerne !  Tester la touche éclat de Gemey. Génialissime !","1",,"1","2009-07-03 00:00:00","Patricia"
"2",NULL,NULL,"5","Pour avoir une impression de satiété avant les repas, il faut boire beaucoup d’eau juste avant de se mettre à table. C’est incroyable comme çà fonctionne !","1",,"1","2009-07-03 00:00:00","Nadine"
"3",NULL,NULL,"5","J’ai une astuce pour dégonfler aprés le sport et se sentir plus légére, je me mets les jambes sous leau froide pendant un quart d’heure et apres je les mets en hauteur pdt qqs minutes.","1",,"1","2009-07-03 00:00:00","Carmen"
"4",NULL,NULL,"3","Pour toutes celles qui ont des pbs de peau, g decouvert un truc genial : le Zinc!  Complexe à boire ou à avaler en gelules, ça fctionne grave","1",,"1","2009-07-03 00:00:00","butterfly"
"143","1",NULL,"7","Allez au festival du cinéma à Paris c'est en ce moment !",NULL,"cinéma festival Paris","1","2009-07-04 13:23:50",NULL
"144","86",NULL,"7"," Kelly Rowland, l’interprète de « When Love Takes Over », le new David Guetta,était au VIP ROOM à Paris hier soir pour un concert !",NULL,"concert vip room paris  Kelly Rowland","1","2009-07-04 13:27:16",NULL
"145","92",NULL,"3","Alli caca,
J'ai testé pour vous alli et n'ai eu ni diarrhée, ni symptomes désagréables ni d'ailleurs de perte de poids. Je fais un régime qui me fait perdre du poids.",NULL,,"1","2009-07-04 22:33:43",NULL
"7",NULL,NULL,"3","Plus de contours de lévres marrons et vulgaires ! Faut arréter, c’est totalement OUT !","1",,"1","2009-07-03 00:00:00","Mutine"
"141","81",NULL,"1","Vente privée de lunettes de soleil sur Chicdressing.com !",NULL,"mode sunglasses soleil lunettes","1","2009-07-03 15:12:38",NULL
"140","81",NULL,"7","Le Club des Estivales de l'Hippodrome de Cabourg, c'est tous les mardis du 3 juillet au 28 août !",NULL,"cabourg hippodrome","1","2009-07-03 15:09:04",NULL
"142","87",NULL,"7","Veuillez trouver ci-joint Les dates Parisiennes de 
Las Kellies [Rock Ladies Rock!] 
venues tout droit de Buenos Aires!!

Concerts gratuits sur Paris!
Merci pour l’insertion dans vos agendas !
",NULL,"musique concert rock bon plan detente astro sexe beauté mode détente","1","2009-07-03 18:35:53",NULL
"10",NULL,NULL,"1","Vive les sacs Zoé la fée. J’habite Aix-en-pce. Je conseille à toutes les \"nanas\" lol les boutik suivantes : Kitch, et shop bazar où ils en vendent.","1",,"1","2009-07-03 00:00:00","Faze"
"11",NULL,NULL,"5","Je connais une astuce tiptop pour ne pas avoir envie de grignoter : Boire un grand verre d’eau, et aprés prendre un fruit riche en fibres comme la pomme ou la pêche. Normallement, ça cale grave.","1",,"1","2009-07-03 00:00:00","Syde"
"12",NULL,NULL,"5","Grâce au bodypump, un cours de muscu en musik, g perdu 4 kilos et en +, jme suis grave affinée la taille et muscler mes triceps ! Je kiffe. essayer, c’est trop bien","1",,"1","2009-07-03 00:00:00","Perrine"
"13",NULL,NULL,"1","Petite info pour les filles qui kiffent les sapes vintage ! Cours Julien à Marseille, il y a des créateurs sympas et pas trop chers qui vendent des sacs géniaux...avis aux amatrices de mode","1",,"1","2009-07-03 00:00:00","Bzz"
"155","86",NULL,"7","Le testament de Michael Jackson révèle que l'intégralité de ses biens au Fonds de la Famille Michael Jackson. 40% pour sa mère, 40% pour les 3 enfants du chanteurs et le reste à des assoc !",NULL,"michael jackson testament","1","2009-07-06 15:31:59",NULL
"151","86",NULL,"8","Vos appareils électroniques consomment trop !
Les appareils high tech sont en train de devenir de véritables polluants. Selon l'Agence internationale de l'énergie, il faut imposer aux fabricants des",NULL,"bien-être high-tech pollution appareils électroniques","1","2009-07-06 15:13:20",NULL
"146","1",NULL,"7","So Jackson Live hier soir organisée par LeMost.fr : soirée EXTRA !",NULL,"Jackson Michael Le Most","1","2009-07-05 10:58:52",NULL
"147","86",NULL,"7","Bipèdes de Pluttark est un mode d'emploi très drôle pour les hommes et pour les femmes ! Une analyse délirante sur nos comportements !",NULL,"livre comportements psychologie homme femme","1","2009-07-05 21:27:51",NULL
"148","86",NULL,"5","Les probiotiques sont extraordinaires pour un bien-être intestinal et contre le surpoids et les ballonnements !",NULL,"minceur santé bien-être probiotiques intestins","1","2009-07-05 21:44:17",NULL
"149","97",NULL,"7","Du 20 octobre 2009 au 7 février 2010, découvrez au château de Versailles une exposition sur Louis XIV. Des objets personnels du roi (encore jamais exposés) seront dévoilés, parmi tant d'autre.",NULL,,"1","2009-07-06 13:43:33",NULL
"150","1",NULL,"3","Une maquilleuse a testé pour nous Clarins Eclat Minute / base fixante Yeux 01. On peut l'appliquer sur le visage et camoufler les imperfections ... mais seulement si on est mate de peau !",NULL,"clarins éclat minute","1","2009-07-06 14:44:13",NULL
"24",NULL,NULL,"3","Tester les baumes de chez BodyShop, ils sont toptop pour les levres. En +, des supers parfums : mangue, coco, papaye...10 000 fois mieux que les gloss qui collent !","1",,"1","2009-07-03 00:00:00","Kathy"
"25",NULL,NULL,"1","Les petits tops de chez Zadig et Voltaire sont tout simplement magnifik. Ok, ils st pas trop accessibles, mais allez qd meme jeter un coup d’oeil. On ne sait jamais. Peut etre que votre mec voudra bi","1",,"1","2009-07-03 00:00:00","Suze"
"163","98",NULL,"8","Denon vient de sortir 2 nouveaux casques intra-auriculaires d’un niveau de confort et de qualité sonore incroyable. Ces modèles, AH-C710 et AH-C360 sont à tester d’urgence !",NULL,,"1","2009-07-07 14:26:27",NULL
"161","1",NULL,"7","Les résultats du bac aujourd'hui ! Bon courage à tous ceux qui l'ont passé !",NULL,"bac examen résultats","1","2009-07-07 09:22:07",NULL
"162","97",NULL,"7","www.brillerenville.com vous permet de rester au courant de ce qui se passe dans l’actualité. Vous ne serez pas mis à l’écart pendant les grands débats qui animeront vos dîners entre amis.",NULL,,"1","2009-07-07 10:34:16",NULL
"159","98",NULL,"1","By Marie lance à la rentrée sa première collection capsule sur l’Hiver. Marie Gas proposera des pièces fortes comme le kimono en chevron ou le top Jane en georgette de soie et  impression léopard.",NULL,,"1","2009-07-06 17:25:53",NULL
"158","1",NULL,"1","Gas Bijoux ouvre sa deuxième boutique NEW YORKAISE dans le quartier chic de
l’Upper West Side !",NULL,"mode bijoux Gas","1","2009-07-06 16:17:20",NULL
"157","82",NULL,"3","L'extrait d'huile d'arbre à thé présente de multiples propriétés assainissantes, équilibrantes et adoucissantes. Elle a toujours été utilisée pour traiter des affections cutanées.",NULL,"arbre thé vert produit soin bouton assainissante adoucissante affection","1","2009-07-06 15:50:29",NULL
"31",NULL,NULL,"3","J’ai juste une petite idée pour percer les boutons sans laisser de cicatrices. Ma soeur est dermato, et me le répète tous le temps! Prenez un mouchoir imbibe d’alcool, une aiguille et percer 2 fois !","1",,"1","2009-07-03 00:00:00","Rhesa"
"168","1",NULL,"7","Etaient présents à l'hommage d'MJ : Usher, Stevie Wonder, Brooke Shield, Mariah Carey ...",NULL,"stars people michael jackson usher brooke shield stevie wonder mariah carey","1","2009-07-07 22:32:02",NULL
"169","1",NULL,"7","Hommage Michael Jackson : on retiendra la grande émotion de sa fille Paris ...",NULL,"Paris Michael Jackson","1","2009-07-07 22:32:52",NULL
"170","109",NULL,"1","Défilé Christian Lacroix hier très émouvant ... Le dernier ?",NULL,"défilé mode christian lacroix","1","2009-07-08 08:29:09",NULL
"171","97",NULL,"7","Vous l'attendiez? Le voilà! Le DVD de Twilight est enfin disponible!",NULL,,"1","2009-07-08 10:19:34",NULL
"172","98",NULL,"7","Le créateur Kenzo s’est associé avec Power Plate pour créer un modèle unique bleu et orange tout en fleurs. Le Power Plate c’était déjà  tendance, maintenant c’est de la haute tendance !",NULL,,"1","2009-07-08 15:15:54",NULL
"173","1",NULL,"3","Garancia a donné naissance à un sérum magique aux essences embellisseuses comme la Rose bio, le jus de citron frais, les larmes de Styrax ... 33 euros 
",NULL,"garancia essences beauté rose bio jus citron styrax","1","2009-07-08 18:49:40",NULL
"174","109",NULL,"7","Les nouvelles chansons du groupe Cocoon : décevantes ! Trop de balades ...",NULL,"chanson musique Cocoon concert","1","2009-07-08 18:51:37",NULL
"175","1",NULL,"7","Plusieurs traces d'aiguilles retrouvées dans le corps de Michael Jackson ... Accro aux piqures ?",NULL,"piqures medicaments aiguilles michael jackson","1","2009-07-09 07:50:27",NULL
"176","108",NULL,"7","SIMONE VEIL entre au Musée GREVIN ce soir.
Hommage amusant à cette Grande Dame qui aime la vie . On ira lui parler et la remercier
pour tout ce qu'elle a fait pour les nanas!",NULL,,"1","2009-07-09 08:19:53",NULL
"177","97",NULL,"7","Depuis hier retrouvez les séduisants Aston Kutcher et Johnny Depp à l'écran dans Toy boy et Public ennemies",NULL,,"1","2009-07-09 10:06:11",NULL
"164","100",NULL,"7","Britney Spears : J’y étais Eh Oui ! Brtney Spears était en France, et forcément c’était l’évènement ! Tout le monde était au courant que la pop star était à Paris et qu’elle logeait à l’hôtel Hyatt.",NULL,"britney, spears, bercy, van, mercedes, circus, womanizer, Paris","1","2009-07-07 17:37:40",NULL
"165","78",NULL,"7","Mickael Jackson était une star depuis son enfance, il est décédé star, et reposera dans le cimetières des plus grands people. L'enterrement était aujourd'hui, à LA. Entre autre, Stan Laurel ...",NULL,"mickael jackson enterrement people","1","2009-07-07 20:18:43",NULL
"166","1",NULL,"7"," Michael Jackson - Les obsèques les plus populaires de tous les temps !!!",NULL,"michael jackson staples center hommage","1","2009-07-07 21:17:07",NULL
"167","108",NULL,"7","J'ai vu \"bancs publics \"au cinoche , une belle farce sur fond de banderole , on rigole !
une foultitude d'acteurs , Pierre Arditi a ma préference!",NULL,,"1","2009-07-07 22:01:28",NULL
"42",NULL,NULL,"5","Un verre de vin rouge / jour peut réduire les risques de maladie cardio-vasculaire.<br>C’est bon et à la fois c’est top pour la santé. Bien sûr sans en abuser !","1","verre_de_vin vin_rouge santé","1","2009-07-03 00:00:00","Natacha"
"180","97",NULL,"7","Le festival Paris cinéma, c'est jusqu'à dimanche. Si vous voulez profiter des dernières séances, allez sur www.pariscinema.org pour consulter le programme.",NULL,,"1","2009-07-10 12:20:29",NULL
"179","93",NULL,"7","\"L'age de glace 3\" est sorti le 3 juillet au ciné;
\"Monstres & Cie\" sort en bluray;
\"Harry Potter 6\" sort mi-juillet au ciné;
\"Là Haut\" (le nouveau film d'animation Pixar) sort à la fin du mois !",NULL,,"1","2009-07-09 13:19:49",NULL
"45",NULL,NULL,"5","2 litres d’eau /jour : rien de mieux pour éliminer et se sentir bien dans sa peau.<br>En buvant ma bouteille de Contrex tous les jours, plus un thé vert au goûter, j’ai perdu 1 taille en un mois !","1","thé vert pour éliminer perdre des kilos du poids","1","2009-07-03 00:00:00","Nairi"
"208","108",NULL,"6","Les 2 mois d été, trop cool, pour une fois qu'on peut  se défiler(le 14 juillet!) et se mettre 2 fois de suite sur notre 31!!!!",NULL,,"1","2009-07-19 21:34:38",NULL
"209","1",NULL,"7","Madonna s'est rendue dimanche dans la cité phocéenne afin de témoigner de sa solidarité auprès des victimes de l'effondrement jeudi de la scène, qui devait servir à son concert.",NULL,"madonna marseille concert morts malades blessés","1","2009-07-20 09:07:01",NULL
"207","1",NULL,"3","Le nouveau parfum Eva Rachline en septembre !",NULL,"beauté parfum Eva Rachline","1","2009-07-18 12:53:34",NULL
"206","1",NULL,"5","Après des partenariats avec les marques Bonduelle, Joker, Powerade du groupe Coca-Cola, ..., LES MILLS, leader des cours collectifs de fitness s’associe à Nestlé dans plus de 50 pays !",NULL,"LesMills Nutrition forme","1","2009-07-18 12:50:58",NULL
"204","157",NULL,"6","Je suis ambassadrice Yoba dans le 83, le 13 et le 06. Je propose des réunions autour d'un \"Apéro Coquin\" spécialement pour les filles!!!
 
Le principe est simple, je viens chez vous  !",NULL,,"1","2009-07-17 10:57:18",NULL
"202","78",NULL,"1","Le 26 août prochain, un nouveau magasin H&M s'ouvrira à l’angle Haussmann Lafayette.",NULL,"h&m mode magasin nouveau","1","2009-07-16 15:56:56",NULL
"203","97",NULL,"7","La petite nouvelle de la chanson française, j'ai nommé Coeur de pirate, sera en concert à la Cigale à Paris, le 6 Octobre prochain.",NULL,,"1","2009-07-17 09:22:50",NULL
"201","98",NULL,"7","2,3 millions d'albums de Michael Jackson vendus en trois semaines!",NULL,,"1","2009-07-16 14:42:51",NULL
"199","1",NULL,"5","La première marque nationale de Ketchup HEINZ lance un
Ketchup Bio !",NULL,"santé bien-être nutrition ketchup tomate aliment fruit","1","2009-07-16 12:56:07",NULL
"200","154",NULL,"3","Coucou les filles, j'ai un site intéressant à vous faire partager. Il s'agit d'un site de maquillage a 1€ pour en profiter pleinement comme moi donner moi votre adresse msn ou e-mail, car il s'agit d'",NULL,"B134","1","2009-07-16 12:58:51",NULL
"198","1",NULL,"3","On aime Esthetic Center et sa cire gold, à la résine de pin (antiseptique), cire d'abeille et particules d'or.",NULL,"beauté épilation cire gold abeille or","1","2009-07-16 10:50:57",NULL
"196","97",NULL,"7","Découverte musicale: Jil is lucky chante the wanderer. Ecoutez sa chanson sur sa page myspace: http://www.myspace.com/jilislucky",NULL,,"1","2009-07-15 15:53:59",NULL
"197","78",NULL,"7","Bridget Jones, c'est reparti! Selon Variety, Renée Zellweger viendrait de signer pour retrouver l'attachante célibataire pour un troisième film! Il va encore falloir qu'elle reprenne du poids ...",NULL,"bridget jones cinéma renée zellweger","1","2009-07-16 00:16:15",NULL
"183","1",NULL,"7"," Décès du travesti à l'origine d'un scandale avec Ronaldo !",NULL,"people ronaldo décés mort","1","2009-07-11 10:40:08",NULL
"184","109",NULL,"7","Madonna bientôt à Marseille !!!",NULL,"madonna marseille concert","1","2009-07-13 09:51:04",NULL
"185","98",NULL,"7","N'oubliez pas feu d'artifice exceptionnel mardi 14 juillet à 22h45 au champs de mars à l'occasion des 120 ans de la tour Eiffel. Précédé par un concert gratuit avec en tête d'affiche Johnny Hallyday.",NULL,,"1","2009-07-13 10:19:34",NULL
"186","97",NULL,"8","Le projet de loi grenelle 2 pourrait interdire les téléphones portables dans les écoles de la maternelle au collège. Prochaine étape: interdiction de vendre des portables au moins de 12 ans?",NULL,,"1","2009-07-13 10:34:55",NULL
"187","82",NULL,"1","Avec pour objectif stratégique de faire défiler des marques de prêt-à-porter créatif, Paris Fashion Days vous donne rendez-vous la saison prochaine en Janvier. La date reste à fixer ; À vos agendas !",NULL,"créateurs mode fashion tendance prêt-à-porter","1","2009-07-13 11:08:41",NULL
"188","98",NULL,"7","Découverte d’un super groupe, Rosebud. Coup de cœur pour le titre Friday Morning Modern love en écoute sur myspace : http://www.myspace.com/rosebudwild. Un régal!",NULL,,"1","2009-07-13 15:11:08",NULL
"189","1",NULL,"1","Relookez votre mec avec de superbes polos et tee-shirts fashion en surfant sur http://drjunkymrhigh.com !",NULL,"mode créateurs tee-shirt polos","1","2009-07-13 18:58:16",NULL
"190","1",NULL,"3","Des lentilles imitant l’œil humain bientôt en vente !",NULL,"beauté santé lentilles vue bien-être","1","2009-07-13 19:05:55",NULL
"191","82",NULL,"7","A l'occasion du 14 juillet, le Forum des Halles organise un \"Funky-Bal\" sur ses terrasses hautes et basses.",NULL,"juillet 14 fête célébration","1","2009-07-13 19:26:53",NULL
"192","82",NULL,"7","L'ex-épouse de Jackson dément avoir renoncé aux droits parentaux !",NULL,"michael jackson ex-épouse Debbie enfants","1","2009-07-15 10:20:56",NULL
"193","97",NULL,"7","Le cinquième Harry Potter envahit enfin les salles de cinéma!",NULL,,"1","2009-07-15 10:31:03",NULL
"194","98",NULL,"7","Selon son agent, Amy Winehouse serait de retour à Londres. La chanteuse aurait confié que c'était bon de rentrer à la maison. Amy sur le chemin de la guérison?",NULL,,"1","2009-07-15 11:06:47",NULL
"195","1",NULL,"1","Bénéficiez de remises de 40% sur TOUS les sacs à main et de -50% sur TOUT le reste ! Dépêchez-vous et rendez-vous sur www.lesmatinsroses.com !",NULL,"mode sacs site internet fashion","1","2009-07-15 11:11:03",NULL
"64",NULL,NULL,"3","Pour obtenir le max de volume dans les cheveux, ne les séchez pas entiérement mais choisissez des mèches au hasard !","1","cheveux chvx cheveu beau volume","1","2009-07-03 00:00:00","Nadine"
"214","1",NULL,"3","Pour des jolis ongles customisés, optez pour les stickers liberty à fleurs !",NULL,"stickers ongles fleurs","1","2009-07-20 10:40:08",NULL
"215","1",NULL,"1","Réouverture de la boutique A Bathing APE, marque culte Japonaise, à Londres !",NULL,"marque japonaise mode Londres  A Bathing APE","1","2009-07-20 10:41:49",NULL
"212","1",NULL,"3","On aime le blush \" Shimmer Bloc, Gilded Garden  de Laura Mercier ... et les garçons aussi !",NULL,"blush laura mercier","1","2009-07-20 10:36:01",NULL
"213","1",NULL,"5","The tablette de choco pour l'équilibre de sa flore intestinale : XLS chocolat noir + probiotiques ! Génial pour le ventre et sa ligne !",NULL,"minceur santé ventre chocolat probiotiques","1","2009-07-20 10:38:48",NULL
"67",NULL,NULL,"5","Pour maigrir, ne mangez surtout pas quand vous n'avez pas faim ! Surtout en été, la chaleur fait que l’on a davantage soif. Il ne faut pas se forcer à diner parce qu’il est 20h passé.","1","forme perte de poids perte kilos diet régime  tonifier coach coaching maigrir mincir","1","2009-07-03 00:00:00","Sophia"
"68",NULL,NULL,"5","Pour garde la ligne, il vous suffit de manger léger et de marcher, oublier la voiture.... aller chercher le pain à pied !","1","forme pertedepoids kilos diet régime tonifier coach coaching maigrir mincir","1","2009-07-03 00:00:00","Sophie"
"69",NULL,NULL,"6","Pour destresser, et s’empêcher d’avoir des pensées négatives lorsque on travaille trop ... voici la solution miracle : faire la cuisine !","1","cuisine dépression anti-dépresseur stress zen psycho bien-être","1","2009-07-03 00:00:00","nina"
"70",NULL,NULL,"6","Pour éviter la routine au lit , attachez votre partenaire et faites lui l’amour sauvagement !!!","1","amour baise sex sexe","1","2009-07-03 00:00:00","Katherine"
"210","1",NULL,"7","La candidate UMP Maryse Joissains a été réélue de justesse dimanche avec 187 voix d'avance face au socialiste Alexandre Medvedowsky dans l'élection municipale partielle d'Aix-en-Provence.",NULL,"maryse joissains mairie aix-en-provence","1","2009-07-20 09:08:10",NULL
"72",NULL,NULL,"3","Une super crème : Perle de caviar, aux galeries Lafayettes à Paris. Elle régènere et hydrate la peau.","1",,"1","2009-07-03 00:00:00","Mathilde"
"73",NULL,NULL,"3","J’ai craqué sur cet embellisseur, enlumineur de teint ! Après on a la peau toute doré, toute belle ... le nom : The face glow d’ Estée Lauder.","1",,"1","2009-07-03 00:00:00","Liva"
"216","98",NULL,"7","L'auteur du livre \"les cendres d'Angela\", Frank McCourt est décédé est l'âge de 78 ans.",NULL,,"1","2009-07-20 10:52:23",NULL
"217","98",NULL,"7","Le duo de stylistes Domenico Dolce et Stefano Gabanna apparaîtront dans le prochain clip de Madonna : \"Celebrate\".",NULL,,"1","2009-07-20 11:00:11",NULL
"75",NULL,NULL,"1","Le top en mode c’est de ne pas en faire des tonnes tout en conservant sa personnalité et bien évidemment en étant à la page !","1","mode fashion idées tendance","1","2009-07-03 00:00:00","Ju"
"76",NULL,NULL,"1","J’ai testé les leggins, c’est top !<bR>Qu’est-ce qu’on a l’air mince avec les calecons !!!","1","mode beauté tendance créatrice glamour belle leggins","1","2009-07-03 00:00:00","Sandrine"
"77",NULL,NULL,"6","J’ai lu que le café boostait la libido ! ça tombe bien je suis accro au café ! ça fonctionne aussi avec le cappuccino ?","1","sexe sexo libido café","1","2009-07-03 00:00:00","Nath"
"78",NULL,NULL,"6","Il parait que 43% des femmes matent les fesses des mecs dans la rue ! Conseil : ils adorent ça !","1","sexe sexo libido fesses mecs mec","1","2009-07-03 00:00:00","Miriam"
"79",NULL,NULL,"5","Pour une belle taille de guêpe, sous la douche, savonnez-vous avec la main opposée au côté que vous lavez pendant 30 secondes et vous avez une taille de guêpe.","1","taille de guêpe, mincir maigrir grosse grossir perdre poids hanches hanche abdominaux abdos","1","2009-07-03 00:00:00","Vénus"
"80",NULL,NULL,"3","Une recette pour avoir de beaux cheveux, forts et soyeux :<br><br>dans un bol, battre un oeuf, ajouter un peu de levure de bière ainsi qu’une cuillère à soupe d’adoucissant pour le linge. Mélangez l","1","beauté cheveux shampooing chevelure soyeux","1","2009-07-03 00:00:00","Missyochy"
"81",NULL,NULL,"3","Pour avoir moins de boutons j’ai trouvé un produits au quel on ne pense pas mais génial !<br>C’est l’eau précieuse vendue en pharmacie. Pas chèr et efficace, ce petit produit est miraculeux.","1","boutons bouton peau eau précieuse precieuse produit produits","1","2009-07-03 00:00:00","Cece"
"82",NULL,NULL,"1","Les slim Cheap monday sont extra fashion et font des silhouettes top !","1","mode fashion tendance slim cheapmonday","1","2009-07-03 00:00:00","Caroline"
"83",NULL,NULL,"1","Un conseil pour toutes les nanas qui rêvraient d’avoir les fesses de J.Lo : les jeans Melting Pot !","1","mode fashion jean pantalon fesses silhouette","1","2009-07-03 00:00:00","Sandrine"
"222","1",NULL,"1","La banane revient à la mode ! Mais attention la choisir comme celles de chez Marc by Marc Jacobs ou YOOX, sinon bah ça fait PLOUC !",NULL,"banane Marc by Marc Jacobs","1","2009-07-20 11:57:35",NULL
"218","97",NULL,"8","Pour ceux qui adorent les films, pensez aux sites de vidéos à la demande. Leurs prix attractifs vous permettent de regarder les films que vous voulez sans faire soufrir votre porte-monnaie.",NULL,,"1","2009-07-20 11:06:46",NULL
"219","82",NULL,"7","Selon Grazia, un magazine anglais, Janet Jackson pourrait bien être la prochaine personne à s'occuper des enfants de son frère.",NULL,"michael jackson enfants janet garde","1","2009-07-20 11:52:32",NULL
"220","82",NULL,"5","J'ai craqué pour le nectar de Tamarin de Mont Pelé en supermarché ! C'est très exotique, c'est un délice !",NULL,"jus tamarin nectar Mont Pelé","1","2009-07-20 11:53:39",NULL
